               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.084562,             0.17519,            0.012333,             0.40879,             0.31587,             0.28835,             0.14367,            0.091933,             0.22787,            0.022611,           0.0089159,           0.0089159,           0.0089159
                  74,            0.084539,             0.17379,            0.012351,             0.41296,             0.31418,             0.28827,             0.14355,            0.091936,             0.22792,            0.022655,            0.008887,            0.008887,            0.008887
                  75,            0.084686,             0.17452,            0.012371,             0.41231,              0.3153,             0.28843,             0.14365,            0.091922,               0.228,            0.022663,           0.0088579,           0.0088579,           0.0088579
                  76,            0.084454,             0.17402,            0.012328,               0.408,             0.31679,             0.28811,             0.14348,            0.091917,             0.22801,            0.022676,           0.0088284,           0.0088284,           0.0088284
                  77,            0.084439,             0.17407,            0.012311,             0.41743,             0.31274,             0.28805,              0.1434,            0.091904,             0.22801,            0.022622,           0.0087987,           0.0087987,           0.0087987
                  78,            0.084289,             0.17379,            0.012309,             0.40358,             0.31965,             0.28845,             0.14338,            0.091884,             0.22806,            0.022614,           0.0087686,           0.0087686,           0.0087686
                  79,            0.084322,             0.17336,            0.012263,             0.40845,             0.31689,             0.28827,             0.14317,            0.091872,             0.22812,            0.022629,           0.0087382,           0.0087382,           0.0087382
                  80,            0.084285,             0.17275,            0.012255,             0.40646,             0.31749,             0.28807,             0.14307,            0.091876,             0.22808,             0.02252,           0.0087075,           0.0087075,           0.0087075
                  81,             0.08444,             0.17341,            0.012266,             0.37928,             0.32876,             0.28804,             0.14314,            0.091855,             0.22815,            0.022375,           0.0086765,           0.0086765,           0.0086765
                  82,            0.084484,             0.17387,            0.012274,             0.37131,              0.3321,             0.28801,             0.14333,            0.091866,             0.22823,            0.022342,           0.0086452,           0.0086452,           0.0086452
                  83,            0.084286,             0.17366,            0.012235,             0.40903,             0.30631,             0.28815,             0.14362,            0.091866,             0.22829,            0.022313,           0.0086137,           0.0086137,           0.0086137
                  84,            0.084497,             0.17427,            0.012329,             0.39128,             0.31528,             0.28798,             0.14348,            0.091856,             0.22832,             0.02228,           0.0085818,           0.0085818,           0.0085818
                  85,            0.084277,              0.1739,            0.012239,             0.40119,             0.30876,             0.28756,             0.14352,            0.091835,              0.2283,             0.02224,           0.0085497,           0.0085497,           0.0085497
                  86,             0.08433,             0.17366,            0.012223,             0.40367,             0.30744,             0.28756,             0.14342,            0.091824,             0.22834,            0.022218,           0.0085173,           0.0085173,           0.0085173
                  87,            0.084394,             0.17339,            0.012243,             0.39477,             0.31096,             0.28716,             0.14336,             0.09183,             0.22842,             0.02225,           0.0084846,           0.0084846,           0.0084846
                  88,            0.084166,             0.17311,            0.012235,             0.41091,             0.30202,             0.28717,             0.14328,            0.091828,              0.2285,            0.022276,           0.0084516,           0.0084516,           0.0084516
                  89,            0.084099,             0.17287,            0.012183,             0.41308,             0.30132,              0.2871,             0.14325,            0.091813,             0.22855,            0.022274,           0.0084184,           0.0084184,           0.0084184
                  90,            0.084085,             0.17329,            0.012168,             0.40972,             0.30231,             0.28678,             0.14316,            0.091818,             0.22851,            0.022289,           0.0083849,           0.0083849,           0.0083849
                  91,            0.084282,             0.17392,            0.012191,             0.39444,             0.30834,              0.2865,             0.14312,            0.091816,             0.22846,            0.022324,           0.0083511,           0.0083511,           0.0083511
                  92,            0.084112,               0.173,            0.012218,              0.3415,             0.34853,             0.28607,             0.14291,            0.091815,             0.22836,            0.022324,           0.0083171,           0.0083171,           0.0083171
                  93,            0.084022,             0.17285,            0.012159,             0.34605,             0.34659,             0.28612,             0.14283,            0.091772,             0.22837,            0.022217,           0.0082829,           0.0082829,           0.0082829
                  94,            0.084165,             0.17336,            0.012099,             0.40171,             0.30555,             0.28509,             0.14231,            0.091739,              0.2283,            0.022182,           0.0082483,           0.0082483,           0.0082483
                  95,            0.084106,             0.17322,            0.012161,             0.40664,             0.30368,             0.28474,              0.1421,            0.091722,             0.22838,            0.022178,           0.0082136,           0.0082136,           0.0082136
                  96,            0.083992,             0.17259,             0.01216,             0.38252,             0.32316,              0.2853,             0.14192,            0.091728,             0.22833,            0.022181,           0.0081786,           0.0081786,           0.0081786
                  97,             0.08416,             0.17445,             0.01219,             0.36659,             0.33768,             0.28542,             0.14206,            0.091746,             0.22835,            0.022195,           0.0081433,           0.0081433,           0.0081433
                  98,            0.084143,             0.17345,            0.012124,             0.36521,             0.33785,             0.28518,             0.14226,            0.091759,             0.22828,            0.022165,           0.0081078,           0.0081078,           0.0081078
                  99,             0.08422,              0.1729,            0.012098,             0.36318,             0.33824,             0.28525,             0.14202,            0.091761,             0.22835,            0.022156,           0.0080721,           0.0080721,           0.0080721
                 100,            0.084057,             0.17311,            0.012135,             0.38951,             0.31923,             0.28432,              0.1418,            0.091754,             0.22832,            0.022144,           0.0080362,           0.0080362,           0.0080362
                 101,            0.084074,             0.17278,            0.012138,             0.37833,              0.3236,             0.28448,             0.14221,            0.091744,             0.22834,            0.022176,               0.008,               0.008,               0.008
                 102,            0.084082,             0.17255,            0.012171,             0.37766,             0.32401,             0.28431,             0.14214,             0.09173,             0.22834,            0.022121,           0.0079636,           0.0079636,           0.0079636
                 103,            0.084039,             0.17286,            0.012133,              0.3859,             0.32009,             0.28417,             0.14157,            0.091718,             0.22841,            0.022136,            0.007927,            0.007927,            0.007927
                 104,            0.083949,             0.17312,            0.012086,              0.3889,             0.31947,             0.28403,             0.14143,            0.091709,             0.22843,            0.022117,           0.0078902,           0.0078902,           0.0078902
                 105,            0.083988,             0.17305,            0.012081,             0.38287,             0.32119,             0.28374,             0.14157,             0.09173,             0.22847,            0.022109,           0.0078532,           0.0078532,           0.0078532
                 106,            0.083983,             0.17271,            0.012171,             0.38667,             0.31928,             0.28351,             0.14141,            0.091745,             0.22845,            0.022094,            0.007816,            0.007816,            0.007816
                 107,            0.084034,              0.1732,            0.012146,             0.38981,             0.31892,             0.28364,             0.14145,            0.091756,             0.22853,            0.022053,           0.0077785,           0.0077785,           0.0077785
                 108,            0.083815,             0.17321,            0.012031,             0.38571,             0.32121,             0.28328,             0.14126,            0.091774,             0.22843,            0.021963,           0.0077409,           0.0077409,           0.0077409
                 109,            0.084054,             0.17306,            0.012097,              0.3874,             0.32111,              0.2836,             0.14147,            0.091776,             0.22854,            0.021955,           0.0077031,           0.0077031,           0.0077031
                 110,             0.08366,             0.17143,            0.012004,             0.37573,             0.32587,             0.28354,             0.14135,            0.091814,             0.22846,             0.02192,           0.0076651,           0.0076651,           0.0076651
                 111,            0.083706,             0.17202,             0.01201,             0.37486,             0.32599,             0.28361,             0.14134,            0.091843,             0.22848,            0.021938,           0.0076269,           0.0076269,           0.0076269
                 112,            0.083974,             0.17226,            0.012043,             0.36959,             0.32874,             0.28394,             0.14134,            0.091864,             0.22836,               0.022,           0.0075886,           0.0075886,           0.0075886
                 113,            0.083806,             0.17148,            0.012088,              0.3727,             0.32693,             0.28389,              0.1415,            0.091872,             0.22824,            0.022032,           0.0075501,           0.0075501,           0.0075501
                 114,            0.083798,             0.17137,            0.011975,             0.36899,             0.32829,             0.28358,             0.14128,            0.091887,             0.22817,            0.022041,           0.0075114,           0.0075114,           0.0075114
                 115,            0.083809,             0.17165,            0.012059,             0.35734,             0.33462,             0.28366,             0.14132,            0.091875,             0.22811,            0.022021,           0.0074725,           0.0074725,           0.0074725
                 116,            0.083814,             0.17216,            0.011998,              0.3488,              0.3383,             0.28376,             0.14136,            0.091855,             0.22811,            0.021981,           0.0074335,           0.0074335,           0.0074335
                 117,            0.083637,             0.17158,            0.012009,                 0.4,             0.30272,             0.28373,             0.14134,            0.091854,             0.22811,            0.021949,           0.0073943,           0.0073943,           0.0073943
                 118,            0.083859,             0.17212,            0.012034,             0.40481,             0.30046,             0.28353,             0.14123,            0.091848,             0.22809,            0.021916,            0.007355,            0.007355,            0.007355
                 119,            0.083725,             0.17125,            0.011951,             0.40225,             0.30146,             0.28337,             0.14114,            0.091827,             0.22807,            0.021892,           0.0073155,           0.0073155,           0.0073155
