(-3.9431021213531494, 9.730989456176758)
(-3.9658491611480713, 9.866442680358887)
(-3.989762544631958, 10.010305404663086)
(-4.013335227966309, 10.153327941894531)
(-4.035604953765869, 10.289470672607422)
(-4.056613922119141, 10.418754577636719)
(-4.075509548187256, 10.535633087158203)
(-4.094531059265137, 10.653790473937988)
(-4.117060661315918, 10.794317245483398)
(-4.137416839599609, 10.921807289123535)
(-4.173590183258057, 11.149577140808105)
(-4.193119049072266, 11.272865295410156)
(-4.211696147918701, 11.390348434448242)
(-4.228736400604248, 11.498394012451172)
(-4.245293140411377, 11.603654861450195)
(-4.263129234313965, 11.717330932617188)
(-4.279106140136719, 11.81941032409668)
(-4.293694972991943, 11.912817001342773)
(-4.308842182159424, 12.01003646850586)
(-4.324124813079834, 12.108351707458496)
(-4.339219093322754, 12.205765724182129)
(-4.353254795074463, 12.296786308288574)
(-4.3665571212768555, 12.383331298828125)
(-4.380270957946777, 12.472713470458984)
(-4.393824100494385, 12.56114387512207)
(-4.4069318771362305, 12.646777153015137)
(-4.4193010330200195, 12.727705001831055)
(-4.449405670166016, 12.924707412719727)
(-4.458864212036133, 12.984768867492676)
(-4.468016147613525, 13.042211532592773)
(-4.485781669616699, 13.153830528259277)
(-4.526721954345703, 13.402942657470703)
(-4.605679512023926, 13.754305839538574)
(-4.613555908203125, 13.762755393981934)
(-4.634235382080078, 13.787313461303711)
(-4.640154838562012, 13.796883583068848)
(-4.647157192230225, 13.817730903625488)
(-4.654396057128906, 13.847519874572754)
(-4.662850379943848, 13.890597343444824)
(-4.672086715698242, 13.945021629333496)
(-4.682873249053955, 14.015165328979492)
(-4.6929030418396, 14.085071563720703)
(-4.7042460441589355, 14.168283462524414)
(-4.716367721557617, 14.260902404785156)
(-4.7281036376953125, 14.353487968444824)
(-4.741168975830078, 14.459356307983398)
(-4.753602027893066, 14.56254768371582)
(-4.767746925354004, 14.68254566192627)
(-4.779998779296875, 14.788493156433105)
(-4.79302978515625, 14.903115272521973)
(-4.8057146072387695, 15.016517639160156)
(-4.818318843841553, 15.130974769592285)
(-4.8432440757751465, 15.362472534179688)
(-4.855298042297363, 15.475773811340332)
(-4.866988658905029, 15.586991310119629)
(-4.880156993865967, 15.714093208312988)
(-4.892443656921387, 15.834583282470703)
(-4.903678894042969, 15.946332931518555)
(-4.916355133056641, 16.074234008789062)
(-4.9275054931640625, 16.188350677490234)
(-4.939119815826416, 16.30879783630371)
(-4.950449466705322, 16.427898406982422)
(-4.961260795593262, 16.543014526367188)
(-4.9737749099731445, 16.678016662597656)
(-4.9857707023620605, 16.809093475341797)
(-4.997243881225586, 16.935964584350586)
(-5.008932113647461, 17.066749572753906)
(-5.019853115081787, 17.190425872802734)
(-5.0311970710754395, 17.320528030395508)
(-5.043431758880615, 17.462711334228516)
(-5.054638862609863, 17.5947322845459)
(-5.066034317016602, 17.73052215576172)
(-5.077828407287598, 17.872814178466797)
(-5.088605880737305, 18.004379272460938)
(-5.099552154541016, 18.13935661315918)
(-5.110665798187256, 18.27783966064453)
(-5.120551586151123, 18.40226936340332)
(-5.131723403930664, 18.544347763061523)
(-5.142139434814453, 18.678241729736328)
(-5.153382301330566, 18.824338912963867)
(-5.1645402908325195, 18.970983505249023)
(-5.175834655761719, 19.1210994720459)
(-5.186388969421387, 19.262826919555664)
(-5.19577693939209, 19.39019012451172)
(-5.206165313720703, 19.532655715942383)
(-5.216884136199951, 19.681367874145508)
(-5.227095603942871, 19.824613571166992)
(-5.2372283935546875, 19.96818733215332)
(-5.2460198402404785, 20.0938777923584)
(-5.255978107452393, 20.237525939941406)
(-5.265440940856934, 20.37533950805664)
(-5.2760515213012695, 20.531475067138672)
(-5.286341667175293, 20.684871673583984)
(-5.295712471008301, 20.82638931274414)
(-5.305001258850098, 20.96826171875)
(-5.313819885253906, 21.10428237915039)
(-5.322558403015137, 21.240198135375977)
(-5.3314032554626465, 21.379058837890625)
(-5.341117858886719, 21.53314971923828)
(-5.349421977996826, 21.66623306274414)
(-5.358947277069092, 21.820606231689453)
(-5.367443561553955, 21.959808349609375)
(-5.375496864318848, 22.093189239501953)
(-5.384573459625244, 22.2449893951416)
(-5.393014907836914, 22.387649536132812)
(-5.403314113616943, 22.563655853271484)
(-5.411754131317139, 22.709407806396484)
(-5.419434070587158, 22.84317398071289)
(-5.427213191986084, 22.97998809814453)
(-5.43491268157959, 23.116811752319336)
(-5.442883014678955, 23.2598819732666)
(-5.450782775878906, 23.403024673461914)
(-5.458931922912598, 23.55206871032715)
(-5.467153549194336, 23.703922271728516)
(-5.474956512451172, 23.849634170532227)
(-5.4899749755859375, 24.134754180908203)
(-5.497557163238525, 24.279136657714844)
(-5.504498481750488, 24.411848068237305)
(-5.511680603027344, 24.55076026916504)
(-5.518756866455078, 24.689319610595703)
(-5.525623321533203, 24.825199127197266)
(-5.532582759857178, 24.964344024658203)
(-5.539196014404297, 25.097898483276367)
(-5.546045303344727, 25.23764991760254)
(-5.552532196044922, 25.37166976928711)
(-5.558823108673096, 25.503128051757812)
(-5.5653510093688965, 25.640893936157227)
(-5.578238487243652, 25.916595458984375)
(-5.584399700164795, 26.04813575744629)
(-5.590123653411865, 26.17082977294922)
(-5.596343994140625, 26.305500030517578)
(-5.6022047996521, 26.434099197387695)
(-5.608798503875732, 26.58080291748047)
(-5.615335464477539, 26.728166580200195)
(-5.621167182922363, 26.861177444458008)
(-5.626828670501709, 26.991565704345703)
(-5.631936073303223, 27.110395431518555)
(-5.63802433013916, 27.25354766845703)
(-5.644187927246094, 27.400054931640625)
(-5.6500468254089355, 27.540712356567383)
(-5.655858516693115, 27.681537628173828)
(-5.661396503448486, 27.816696166992188)
(-5.666669845581055, 27.945953369140625)
(-5.672412395477295, 28.08721160888672)
(-5.677884101867676, 28.22245216369629)
(-5.683445930480957, 28.36095428466797)
(-5.688840389251709, 28.496566772460938)
(-5.694055080413818, 28.629240036010742)
(-5.699451446533203, 28.768390655517578)
(-5.705498218536377, 28.926345825195312)
(-5.710566997528076, 29.06043815612793)
(-5.716273307800293, 29.213306427001953)
(-5.721714019775391, 29.360593795776367)
(-5.726846694946289, 29.499170303344727)
(-5.732577800750732, 29.650146484375)
(-5.737939834594727, 29.78533935546875)
(-5.7432942390441895, 29.913740158081055)
(-5.7494659423828125, 30.053253173828125)
(-5.7554121017456055, 30.17926025390625)
(-5.763202667236328, 30.333194732666016)
(-5.770974636077881, 30.475967407226562)
(-5.77939510345459, 30.619384765625)
(-5.787993431091309, 30.754621505737305)
(-5.798104763031006, 30.90108299255371)
(-5.8063459396362305, 31.01226234436035)
(-5.816476345062256, 31.139989852905273)
(-5.826253890991211, 31.254667282104492)
(-5.837707996368408, 31.37966537475586)
(-5.8484721183776855, 31.48952865600586)
(-5.860223770141602, 31.602092742919922)
(-5.873565196990967, 31.721691131591797)
(-5.888062477111816, 31.843050003051758)
(-5.902556896209717, 31.9569034576416)
(-5.916655540466309, 32.06139373779297)
(-5.932186603546143, 32.16989517211914)
(-5.947279453277588, 32.26943588256836)
(-5.963484764099121, 32.37075424194336)
(-5.978757858276367, 32.461605072021484)
(-5.994727611541748, 32.55229949951172)
(-6.012465953826904, 32.64838409423828)
(-6.029498100280762, 32.73640441894531)
(-6.046980381011963, 32.82246398925781)
(-6.063765048980713, 32.9012565612793)
(-6.082895755767822, 32.98697280883789)
(-6.102472305297852, 33.07068634033203)
(-6.122556209564209, 33.15262222290039)
(-6.140620231628418, 33.22312545776367)
(-6.1616902351379395, 33.301937103271484)
(-6.181469917297363, 33.37294006347656)
(-6.204412937164307, 33.451934814453125)
(-6.2255659103393555, 33.52178192138672)
(-6.246674537658691, 33.58887481689453)
(-6.2686614990234375, 33.65625)
(-6.292577743530273, 33.72679901123047)
(-6.31550407409668, 33.791927337646484)
(-6.3379106521606445, 33.85335159301758)
(-6.363383769989014, 33.920806884765625)
(-6.388864994049072, 33.9859504699707)
(-6.415938377380371, 34.05275344848633)
(-6.442424297332764, 34.115875244140625)
(-6.469933032989502, 34.1793327331543)
(-6.497995853424072, 34.241966247558594)
(-6.524899959564209, 34.300113677978516)
(-6.551762104034424, 34.356441497802734)
(-6.581636905670166, 34.4172477722168)
(-6.612209320068359, 34.47756576538086)
(-6.642724514007568, 34.53600311279297)
(-6.674394130706787, 34.59493637084961)
(-6.704072952270508, 34.648643493652344)
(-6.733709812164307, 34.70088577270508)
(-6.771714687347412, 34.76591873168945)
(-6.807214260101318, 34.82485580444336)
(-6.839209079742432, 34.87669372558594)
(-6.877198696136475, 34.936614990234375)
(-6.9130072593688965, 34.991661071777344)
(-6.945582389831543, 35.04060745239258)
(-6.981969356536865, 35.0941276550293)
(-7.0193328857421875, 35.14769744873047)
(-7.0576090812683105, 35.201393127441406)
(-7.099400520324707, 35.25860595703125)
(-7.143130302429199, 35.317161560058594)
(-7.187931537628174, 35.37571716308594)
(-7.227191925048828, 35.42604064941406)
(-7.273592948913574, 35.48432922363281)
(-7.317164897918701, 35.537906646728516)
(-7.364657878875732, 35.5951042175293)
(-7.4172282218933105, 35.6571159362793)
(-7.463826656341553, 35.71098709106445)
(-7.507160663604736, 35.7602653503418)
(-7.559754371643066, 35.81901168823242)
(-7.60783576965332, 35.871700286865234)
(-7.654383659362793, 35.92189407348633)
(-7.707287788391113, 35.97792434692383)
(-7.762469291687012, 36.03527069091797)
(-7.811875343322754, 36.08574295043945)
(-7.863362789154053, 36.13750457763672)
(-7.9169697761535645, 36.190574645996094)
(-7.97766637802124, 36.24970245361328)
(-8.031896591186523, 36.30168151855469)
(-8.090615272521973, 36.35708236694336)
(-8.154143333435059, 36.416019439697266)
(-8.220282554626465, 36.476348876953125)
(-8.289129257202148, 36.5380744934082)
(-8.35666561126709, 36.597633361816406)
(-8.422710418701172, 36.654998779296875)
(-8.481489181518555, 36.70530700683594)
(-8.553848266601562, 36.7663688659668)
(-8.618470191955566, 36.82009506225586)
(-8.688273429870605, 36.87722396850586)
(-8.760705947875977, 36.9356803894043)
(-8.832765579223633, 36.99299240112305)
(-8.904434204101562, 37.049110412597656)
(-8.980305671691895, 37.10777282714844)
(-9.058937072753906, 37.16766357421875)
(-9.136942863464355, 37.22623062133789)
(-9.217277526855469, 37.28566360473633)
(-9.298469543457031, 37.34485626220703)
(-9.370891571044922, 37.39693832397461)
(-9.44589614868164, 37.450260162353516)
(-9.528593063354492, 37.50822067260742)
(-9.609038352966309, 37.56398010253906)
(-9.687142372131348, 37.617366790771484)
(-9.767837524414062, 37.671817779541016)
(-9.852886199951172, 37.72842788696289)
(-9.942558288574219, 37.7873649597168)
(-10.031590461730957, 37.845096588134766)
(-10.129142761230469, 37.90736770629883)
(-10.211065292358398, 37.95906448364258)
(-10.301369667053223, 38.01542282104492)
(-10.400282859802246, 38.0762939453125)
(-10.48847484588623, 38.12989807128906)
(-10.581171989440918, 38.18556213378906)
(-10.680530548095703, 38.24446105957031)
(-10.775053977966309, 38.29975891113281)
(-10.880622863769531, 38.36076354980469)
(-10.973152160644531, 38.41358184814453)
(-11.070585250854492, 38.468536376953125)
(-11.164689064025879, 38.52098846435547)
(-11.261329650878906, 38.5742301940918)
(-11.352303504943848, 38.623783111572266)
(-11.450164794921875, 38.676456451416016)
(-11.55095100402832, 38.73006057739258)
(-11.646173477172852, 38.780128479003906)
(-11.746386528015137, 38.832244873046875)
(-11.849591255187988, 38.88531494140625)
(-11.944985389709473, 38.93378448486328)
(-12.054049491882324, 38.988582611083984)
(-12.166260719299316, 39.04422378540039)
(-12.266315460205078, 39.093318939208984)
(-12.374160766601562, 39.14555358886719)
(-12.48073673248291, 39.196617126464844)
(-12.59014892578125, 39.248451232910156)
(-12.706753730773926, 39.3029670715332)
(-12.807413101196289, 39.34939956665039)
(-12.919029235839844, 39.40020751953125)
(-13.02958869934082, 39.449851989746094)
(-13.138762474060059, 39.49817657470703)
(-13.237457275390625, 39.54123306274414)
(-13.344898223876953, 39.587406158447266)
(-13.447768211364746, 39.630889892578125)
(-13.542075157165527, 39.67012023925781)
(-13.640059471130371, 39.710201263427734)
(-13.731518745422363, 39.74697494506836)
(-13.826070785522461, 39.78434753417969)
(-13.91777229309082, 39.819915771484375)
(-14.008091926574707, 39.85428237915039)
(-14.088384628295898, 39.884254455566406)
(-14.168975830078125, 39.913795471191406)
(-14.249624252319336, 39.942745208740234)
(-14.315179824829102, 39.965789794921875)
(-14.387167930603027, 39.99057388305664)
(-14.452178955078125, 40.01248550415039)
(-14.518754005432129, 40.034427642822266)
(-14.58242416381836, 40.054927825927734)
(-14.643224716186523, 40.07406234741211)
(-14.706951141357422, 40.09364318847656)
(-14.7639741897583, 40.11074447631836)
(-14.815018653869629, 40.12567138671875)
(-14.86562728881836, 40.14010238647461)
(-14.916604995727539, 40.154232025146484)
(-14.963891983032227, 40.16698455810547)
(-15.009299278259277, 40.17890548706055)
(-15.04893684387207, 40.189029693603516)
(-15.083436965942383, 40.19761276245117)
(-15.11758804321289, 40.20589828491211)
(-15.151928901672363, 40.2139892578125)
(-15.18498706817627, 40.22152328491211)
(-15.216264724731445, 40.228389739990234)
(-15.246781349182129, 40.2348747253418)
(-15.273398399353027, 40.240299224853516)
(-15.299068450927734, 40.245323181152344)
(-15.321372032165527, 40.24953079223633)
(-15.342890739440918, 40.25344467163086)
(-15.364877700805664, 40.25728988647461)
