               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 222,            0.090985,             0.15887,            0.015247,             0.48474,             0.31489,             0.31146,              0.1652,            0.090494,             0.24128,            0.022039,           0.0032925,           0.0032925,           0.0032925
                 223,            0.090688,             0.15835,            0.015138,             0.48467,              0.3148,             0.31151,             0.16511,            0.090495,             0.24133,             0.02204,           0.0032618,           0.0032618,           0.0032618
                 224,            0.090944,             0.16046,            0.015064,             0.48707,              0.3137,             0.31113,             0.16511,            0.090494,             0.24135,            0.022041,           0.0032314,           0.0032314,           0.0032314
                 225,              0.0907,             0.15883,            0.014992,             0.48946,             0.31298,              0.3112,             0.16515,            0.090494,             0.24131,            0.022042,           0.0032013,           0.0032013,           0.0032013
                 226,            0.090751,             0.15814,            0.014975,             0.47759,              0.3175,             0.31116,              0.1651,            0.090494,             0.24133,            0.022042,           0.0031716,           0.0031716,           0.0031716
                 227,            0.090676,             0.15863,            0.015048,             0.48856,             0.31283,             0.31109,              0.1652,            0.090493,             0.24145,            0.022043,           0.0031421,           0.0031421,           0.0031421
                 228,            0.090769,             0.15803,            0.014954,             0.47916,              0.3172,             0.31104,             0.16512,            0.090495,             0.24138,            0.022044,            0.003113,            0.003113,            0.003113
                 229,            0.090817,              0.1603,            0.015076,             0.48239,              0.3162,              0.3112,             0.16505,            0.090495,             0.24138,            0.022044,           0.0030841,           0.0030841,           0.0030841
                 230,            0.090983,             0.15843,            0.014911,             0.48586,             0.31435,             0.31105,             0.16496,            0.090496,             0.24142,            0.022045,           0.0030556,           0.0030556,           0.0030556
                 231,            0.090412,             0.15847,             0.01492,             0.48343,             0.31566,             0.31111,             0.16502,            0.090494,             0.24147,            0.022044,           0.0030274,           0.0030274,           0.0030274
                 232,            0.090355,               0.157,            0.014847,             0.48776,             0.31359,             0.31041,             0.16467,            0.090495,             0.24143,            0.022045,           0.0029996,           0.0029996,           0.0029996
                 233,            0.091126,             0.15928,             0.01497,             0.48374,             0.31539,             0.31015,             0.16462,            0.090496,             0.24142,            0.022047,            0.002972,            0.002972,            0.002972
                 234,            0.090776,             0.15722,             0.01507,             0.47762,             0.31798,             0.31067,             0.16479,            0.090497,              0.2415,            0.022049,           0.0029448,           0.0029448,           0.0029448
                 235,             0.09063,             0.15762,            0.014794,             0.47768,             0.31801,             0.31061,             0.16461,            0.090498,             0.24155,             0.02205,           0.0029179,           0.0029179,           0.0029179
                 236,            0.090945,              0.1607,            0.015057,             0.48413,             0.31572,             0.31056,             0.16475,            0.090501,             0.24158,            0.022052,           0.0028914,           0.0028914,           0.0028914
                 237,            0.090889,             0.15834,            0.015009,              0.4793,             0.31764,             0.31052,             0.16462,            0.090502,             0.24152,            0.022054,           0.0028652,           0.0028652,           0.0028652
                 238,            0.090465,             0.15687,            0.015027,             0.47762,              0.3184,             0.31069,              0.1646,            0.090504,             0.24166,            0.022055,           0.0028394,           0.0028394,           0.0028394
                 239,            0.090675,             0.15683,            0.014996,             0.47812,             0.31835,             0.31022,             0.16457,            0.090504,             0.24163,            0.022057,           0.0028139,           0.0028139,           0.0028139
                 240,            0.090788,              0.1585,            0.015032,             0.48046,             0.31711,             0.31037,             0.16476,            0.090505,             0.24165,            0.022059,           0.0027887,           0.0027887,           0.0027887
                 241,            0.090549,             0.15821,            0.014825,             0.47692,             0.31856,              0.3102,             0.16477,            0.090507,             0.24175,            0.022058,           0.0027639,           0.0027639,           0.0027639
                 242,            0.090475,             0.15945,            0.014992,               0.478,             0.31816,             0.31019,             0.16461,            0.090508,             0.24164,            0.022061,           0.0027395,           0.0027395,           0.0027395
                 243,            0.090591,             0.15758,            0.014815,             0.48006,             0.31754,              0.3101,             0.16463,             0.09051,             0.24175,            0.022062,           0.0027154,           0.0027154,           0.0027154
                 244,            0.090437,             0.15691,            0.014822,             0.48188,             0.31694,             0.31045,             0.16455,            0.090511,             0.24174,            0.022065,           0.0026917,           0.0026917,           0.0026917
                 245,            0.090488,             0.15782,            0.014824,             0.47813,             0.31777,             0.31007,             0.16448,            0.090512,             0.24182,            0.022067,           0.0026683,           0.0026683,           0.0026683
                 246,            0.090889,             0.15872,            0.014873,             0.47748,             0.31826,             0.31014,             0.16456,            0.090511,             0.24183,            0.022067,           0.0026453,           0.0026453,           0.0026453
                 247,            0.090156,             0.15608,             0.01488,             0.48336,             0.31562,             0.30915,             0.16444,            0.090514,             0.24181,             0.02207,           0.0026227,           0.0026227,           0.0026227
                 248,            0.090415,             0.15917,            0.014955,              0.4534,             0.32849,             0.30916,              0.1643,            0.090515,             0.24184,            0.022073,           0.0026004,           0.0026004,           0.0026004
                 249,             0.09072,             0.15781,            0.014703,             0.45291,             0.32922,              0.3091,             0.16423,            0.090516,             0.24189,            0.022074,           0.0025785,           0.0025785,           0.0025785
                 250,            0.090193,             0.15722,            0.014707,             0.48722,             0.31516,             0.30932,             0.16421,            0.090518,             0.24195,            0.022076,            0.002557,            0.002557,            0.002557
                 251,            0.090358,             0.15761,            0.014866,             0.45835,             0.32709,             0.30922,             0.16415,             0.09052,             0.24191,            0.022077,           0.0025359,           0.0025359,           0.0025359
                 252,            0.090518,             0.15711,            0.014892,              0.4675,             0.32368,             0.30933,             0.16404,             0.09052,             0.24198,            0.022078,           0.0025151,           0.0025151,           0.0025151
                 253,            0.090345,             0.15768,            0.014846,             0.46998,             0.32295,             0.30921,             0.16397,            0.090521,             0.24196,            0.022081,           0.0024948,           0.0024948,           0.0024948
                 254,            0.090329,              0.1583,            0.014695,             0.46818,             0.32344,             0.30904,             0.16405,            0.090523,             0.24203,            0.022084,           0.0024748,           0.0024748,           0.0024748
                 255,            0.090751,              0.1567,            0.014824,              0.4636,             0.32527,             0.30897,              0.1641,            0.090524,             0.24211,            0.022086,           0.0024552,           0.0024552,           0.0024552
                 256,              0.0905,             0.15879,            0.014799,             0.46673,             0.32429,             0.30905,             0.16396,            0.090525,             0.24204,            0.022088,            0.002436,            0.002436,            0.002436
                 257,            0.090283,              0.1558,            0.014823,             0.46705,             0.32399,             0.30892,             0.16391,            0.090527,             0.24209,             0.02209,           0.0024172,           0.0024172,           0.0024172
                 258,            0.090635,             0.15837,             0.01483,             0.48714,             0.31545,              0.3089,             0.16386,            0.090528,             0.24212,            0.022089,           0.0023987,           0.0023987,           0.0023987
                 259,            0.090542,             0.15785,            0.014704,             0.46371,             0.32513,             0.30892,             0.16394,            0.090529,             0.24219,            0.022089,           0.0023807,           0.0023807,           0.0023807
                 260,            0.089733,             0.15571,              0.0146,             0.45379,             0.32933,             0.30901,             0.16402,            0.090528,             0.24212,            0.022087,           0.0023631,           0.0023631,           0.0023631
                 261,             0.09014,             0.15603,            0.014595,             0.48782,             0.31582,             0.30904,             0.16398,            0.090529,             0.24215,            0.022085,           0.0023458,           0.0023458,           0.0023458
                 262,             0.08995,             0.15622,            0.014671,             0.48995,             0.31544,             0.30866,             0.16384,            0.090529,             0.24217,            0.022085,            0.002329,            0.002329,            0.002329
                 263,            0.090486,             0.15904,            0.014721,             0.48615,             0.31625,              0.3087,             0.16381,            0.090531,             0.24218,            0.022086,           0.0023125,           0.0023125,           0.0023125
                 264,            0.091063,             0.15849,            0.014683,             0.49009,             0.31479,             0.30821,             0.16357,            0.090531,             0.24227,            0.022087,           0.0022965,           0.0022965,           0.0022965
                 265,            0.090411,             0.15613,            0.014602,             0.48293,             0.31684,             0.30815,             0.16341,            0.090532,             0.24224,            0.022087,           0.0022809,           0.0022809,           0.0022809
                 266,            0.090418,             0.15667,             0.01473,             0.46779,             0.32351,             0.30855,             0.16356,            0.090533,             0.24232,            0.022089,           0.0022657,           0.0022657,           0.0022657
                 267,            0.090221,             0.15591,            0.014526,              0.4846,             0.31717,             0.30821,             0.16341,            0.090534,             0.24229,            0.022089,           0.0022509,           0.0022509,           0.0022509
